aX,aY,aZ,gX,gY,gZ
0.845,-1.965,3.166,-114.136,-62.500,153.748
0.695,-1.692,2.666,-72.998,-25.146,173.828
0.578,-1.481,2.136,-36.743,3.235,190.491
0.454,-1.285,1.724,-6.714,21.484,205.017
0.335,-1.024,1.468,14.648,31.067,220.337
0.266,-0.673,1.302,26.245,35.217,235.474
0.196,-0.307,1.217,26.917,36.560,247.864
0.126,0.043,1.119,16.052,37.659,256.836
0.109,0.369,0.951,-0.671,39.307,263.000
0.058,0.691,0.792,-16.724,39.917,265.320
0.026,0.939,0.655,-25.757,39.612,262.939
0.033,1.189,0.555,-25.879,37.903,256.653
0.012,1.450,0.535,-18.188,35.034,248.596
-0.028,1.664,0.552,-9.644,31.921,238.342
-0.056,1.848,0.519,-11.108,29.053,226.685
-0.110,1.958,0.424,-17.700,25.574,213.989
-0.156,2.114,0.325,-27.710,20.203,201.477
-0.241,2.278,0.241,-39.185,12.756,187.683
-0.271,2.473,0.220,-43.945,4.089,170.532
-0.325,2.671,0.277,-38.696,-4.822,149.658
-0.362,2.928,0.356,-28.320,-13.245,125.732
-0.375,3.214,0.408,-13.855,-20.203,97.107
-0.402,3.518,0.456,3.540,-26.550,63.660
-0.441,3.801,0.460,20.996,-31.921,24.414
-0.513,4.000,0.443,36.194,-37.537,-19.836
-0.636,4.000,0.423,44.800,-44.067,-69.580
-0.885,4.000,0.387,49.133,-51.086,-125.122
-1.181,4.000,0.304,55.664,-58.594,-188.599
-1.649,4.000,0.120,66.040,-65.857,-259.155
-2.273,4.000,-0.165,68.054,-75.562,-334.778
-3.116,4.000,-0.467,54.932,-91.492,-411.987
-3.993,4.000,-0.810,41.077,-113.708,-491.150
-4.000,3.285,-1.015,26.062,-144.287,-566.895
-4.000,2.251,-1.032,-0.305,-184.814,-631.348
-4.000,1.002,-0.678,-55.664,-236.694,-678.162
-4.000,-0.526,0.139,-146.790,-299.072,-703.125
-4.000,-2.376,1.709,-237.610,-366.394,-701.660
-4.000,-3.882,3.951,-296.204,-419.861,-660.461
-3.996,-4.000,4.000,-281.616,-421.021,-593.750
-2.465,-4.000,4.000,-237.427,-366.943,-513.611
-1.127,-4.000,4.000,-172.119,-277.710,-435.547
-0.372,-4.000,4.000,-100.769,-174.072,-364.624
-0.134,-4.000,4.000,-53.711,-82.520,-294.067
-0.124,-4.000,2.586,-39.307,-24.963,-223.083
-0.188,-3.919,1.250,-44.250,-6.226,-155.945
-0.211,-3.222,0.632,-45.959,-15.076,-99.243
-0.231,-2.521,0.657,-31.067,-35.522,-55.542
-0.155,-1.934,1.032,-11.353,-54.749,-25.452
-0.056,-1.499,1.537,5.005,-65.735,-5.798
0.034,-1.159,1.976,17.883,-65.674,7.019
0.115,-0.853,2.218,24.414,-56.091,16.541
0.152,-0.605,2.256,26.611,-40.955,22.461
0.155,-0.421,2.174,25.757,-24.475,25.940
0.134,-0.262,2.064,19.775,-9.888,28.137
0.119,-0.101,1.879,8.240,2.747,29.419
0.092,0.004,1.672,-2.930,13.306,28.931
0.082,0.040,1.473,-12.207,20.935,26.611
0.047,0.011,1.279,-17.090,25.879,23.376
0.006,-0.022,1.101,-17.395,28.259,21.362
-0.013,-0.024,0.938,-16.724,28.198,20.752
-0.011,-0.001,0.828,-12.817,25.757,20.569
0.009,0.012,0.816,-6.470,20.691,19.958
0.045,-0.019,0.893,-0.183,15.259,19.287
