aX,aY,aZ,gX,gY,gZ
-2.942,-0.300,0.571,-182.373,-460.144,-175.476
-2.912,-0.660,1.572,-237.793,-491.760,-161.194

-1.982,-0.905,3.937,-274.963,-499.451,-109.924
-1.393,-0.723,4.000,-238.098,-468.262,-86.121
-0.840,-0.484,4.000,-176.392,-414.917,-72.449
-0.467,-0.375,4.000,-102.234,-344.055,-72.083
-0.238,-0.508,4.000,-38.025,-274.597,-78.308
-0.074,-0.885,4.000,-5.249,-219.482,-81.970
0.019,-1.285,3.958,-8.667,-178.955,-75.928
0.094,-1.514,3.392,-34.851,-151.733,-58.228
0.142,-1.533,2.943,-59.326,-134.033,-34.973
0.125,-1.415,2.656,-66.956,-122.986,-12.451
0.117,-1.188,2.518,-56.763,-114.990,6.042
0.111,-0.950,2.549,-33.630,-108.154,19.226
0.134,-0.715,2.719,-8.667,-100.403,27.100
0.176,-0.543,2.849,15.137,-88.745,30.090
0.196,-0.422,2.858,32.104,-72.876,30.273
0.179,-0.309,2.769,33.752,-55.786,29.907
0.174,-0.207,2.601,22.949,-39.063,29.785
0.148,-0.139,2.387,9.033,-24.231,28.687
0.110,-0.134,2.104,-1.343,-10.742,26.001
0.053,-0.123,1.823,-8.606,-0.488,22.949
-0.003,-0.098,1.526,-11.963,6.592,20.264
-0.056,-0.118,1.236,-12.512,10.559,16.663
-0.113,-0.178,1.034,-9.583,10.620,12.939
-0.143,-0.260,0.953,-5.188,6.287,10.010
-0.155,-0.358,0.952,-2.930,0.854,8.606
-0.163,-0.415,1.020,-6.287,-4.395,9.827
-0.159,-0.384,1.134,-13.672,-8.728,13.184
-0.135,-0.313,1.242,-18.738,-10.376,15.808
-0.130,-0.265,1.340,-20.691,-9.216,17.151
-0.137,-0.219,1.392,-20.508,-5.859,17.395
-0.150,-0.170,1.362,-18.494,-0.916,17.212
-0.169,-0.159,1.262,-13.550,4.456,16.113
-0.194,-0.179,1.158,-7.812,8.362,14.343
-0.215,-0.227,1.046,-4.395,10.620,13.367
-0.223,-0.263,0.969,-2.869,10.803,14.160
-0.227,-0.266,0.939,-2.869,9.338,16.052
-0.228,-0.230,0.956,-3.540,7.446,18.188
-0.227,-0.135,0.999,-4.150,5.798,20.081
-0.211,-0.020,1.029,-4.272,5.066,20.447
-0.209,0.074,1.028,-1.892,5.493,18.250
-0.200,0.136,1.027,1.465,6.348,14.038
-0.194,0.154,1.028,2.563,6.958,9.033
-0.193,0.140,1.030,0.244,7.080,3.967
-0.195,0.103,1.017,-3.784,7.385,-0.305
-0.197,0.030,0.987,-8.057,7.690,-3.723
-0.198,-0.064,0.961,-13.611,7.446,-6.226
-0.198,-0.159,0.931,-18.494,6.653,-7.324
-0.190,-0.226,0.915,-20.142,5.615,-6.897
-0.187,-0.279,0.919,-18.433,3.967,-5.920
-0.178,-0.326,0.942,-13.916,2.991,-4.578
-0.178,-0.357,0.978,-9.338,2.502,-2.380
-0.175,-0.342,1.004,-5.188,2.258,0.000
-0.180,-0.296,1.030,-0.977,2.686,3.052
-0.178,-0.226,1.059,1.343,3.357,5.676
-0.183,-0.164,1.083,1.526,4.578,7.324
-0.194,-0.111,1.067,0.610,5.981,7.935
-0.204,-0.077,1.019,-0.427,7.751,7.874
-0.219,-0.061,0.989,-2.808,8.240,6.958
-0.233,-0.052,0.971,-5.005,7.751,5.737
-0.241,-0.045,0.938,-4.944,7.385,4.272
-0.243,-0.045,0.905,-2.747,6.592,2.014
-0.247,-0.051,0.906,-1.404,5.188,-0.061
-0.239,-0.042,0.936,-2.686,3.052,-1.160
-0.223,-0.044,0.973,-4.761,1.709,-2.258
-0.206,-0.075,1.007,-4.700,1.160,-3.845
-0.196,-0.129,1.046,-4.639,1.099,-5.188
-0.188,-0.200,1.064,-5.066,1.709,-5.554
-0.191,-0.258,1.079,-5.249,2.563,-4.639
-0.197,-0.277,1.096,-6.042,3.418,-2.563
-0.191,-0.259,1.083,-6.470,4.517,-0.916
-0.193,-0.253,1.068,-4.822,5.798,0.671
-0.195,-0.236,1.077,-1.770,6.409,1.770
-0.191,-0.193,1.086,0.549,7.385,2.930
-0.188,-0.178,1.088,3.052,8.484,3.235
-0.198,-0.192,1.115,3.906,9.216,3.357
-0.201,-0.186,1.098,3.723,10.437,3.845
-0.201,-0.169,1.076,4.150,11.841,4.456
-0.201,-0.173,1.109,4.211,12.268,5.066
-0.193,-0.196,1.180,3.052,12.634,5.615
-0.176,-0.223,1.295,2.075,13.855,6.592
-0.159,-0.250,1.472,0.305,15.991,8.362
-0.170,-0.244,1.654,-3.601,21.179,10.742
-0.201,-0.206,1.685,-8.545,30.334,13.550
-0.223,-0.243,1.477,-13.367,41.626,14.709
-0.282,-0.359,1.315,-13.000,48.889,14.709
-0.323,-0.469,1.156,-9.216,52.429,15.869
-0.342,-0.570,0.974,-2.625,54.260,18.250
-0.339,-0.646,0.926,6.042,51.575,21.973
-0.331,-0.705,1.005,13.916,46.997,27.405
-0.301,-0.718,1.138,19.409,43.823,34.424
-0.262,-0.689,1.309,22.827,42.908,42.358
-0.232,-0.677,1.488,24.231,45.105,49.805
-0.220,-0.669,1.597,23.804,50.842,57.190
-0.224,-0.622,1.598,23.071,59.082,64.636
-0.251,-0.541,1.498,21.118,68.420,71.289
-0.281,-0.459,1.281,20.386,76.904,76.172
-0.304,-0.422,1.031,24.048,82.581,78.552
-0.321,-0.427,0.816,32.166,83.679,79.407
-0.307,-0.463,0.647,40.405,80.994,80.078
-0.291,-0.515,0.526,44.983,75.256,81.726
-0.280,-0.548,0.433,46.753,68.115,84.473
-0.252,-0.531,0.348,47.180,59.692,88.196
-0.232,-0.501,0.292,47.485,50.598,91.553
-0.210,-0.479,0.257,46.997,41.443,94.299
-0.187,-0.473,0.214,44.861,32.471,96.558
-0.170,-0.473,0.154,42.603,23.804,98.999
-0.170,-0.462,0.092,39.795,15.137,101.685
-0.163,-0.409,0.035,36.316,5.554,104.614
-0.159,-0.333,-0.016,35.156,-3.906,106.567
-0.164,-0.273,-0.081,36.560,-13.489,106.934
-0.165,-0.206,-0.136,37.415,-24.658,106.079
-0.138,-0.130,-0.161,39.551,-37.170,103.943
-0.097,-0.077,-0.116,42.480,-51.147,100.647
-0.071,-0.034,-0.037,43.579,-64.941,97.046
-0.016,0.060,0.009,40.100,-76.904,93.750
0.026,0.155,0.037,37.292,-87.891,89.355
0.071,0.270,0.082,31.494,-99.121,84.045
0.099,0.357,0.166,23.437,-110.962,77.026
0.113,0.380,0.270,18.494,-121.948,67.139

0.287,-0.296,2.950,-45.776,-168.396,14.954
0.235,-0.423,3.356,-38.574,-155.396,14.282
0.242,-0.544,3.799,-23.682,-138.977,14.099
0.247,-0.738,4.000,-1.099,-119.019,15.198
0.288,-0.723,4.000,17.395,-94.360,20.752
0.255,-0.808,4.000,40.527,-62.500,27.222
0.216,-0.736,4.000,52.246,-25.330,37.231
0.117,-0.643,4.000,60.425,15.564,47.363
-0.009,-0.512,4.000,63.232,58.655,56.824
-0.191,-0.353,4.000,60.486,99.670,64.636
-0.346,-0.197,4.000,50.293,139.526,69.763
-0.580,-0.138,4.000,34.546,178.833,71.472
-0.817,-0.138,4.000,25.818,214.905,69.824
-1.021,-0.224,3.687,28.503,244.812,66.528
-1.228,-0.371,3.252,34.485,267.334,64.026
-1.404,-0.499,2.889,33.752,284.607,65.002
-1.544,-0.575,2.501,29.541,299.622,68.848
-1.671,-0.583,2.110,27.222,312.378,74.707
-1.780,-0.551,1.771,25.757,321.533,81.116
-1.871,-0.490,1.456,24.109,328.430,87.280
-1.930,-0.414,1.051,26.917,334.961,92.224
-1.971,-0.325,0.621,35.339,339.111,96.191
-1.972,-0.266,0.169,49.133,338.440,98.877
-1.768,-0.202,-0.209,63.660,331.970,101.685
-1.942,-0.321,-0.564,83.191,320.068,105.042
-1.748,-0.072,-0.738,86.853,300.171,112.915
-1.660,0.048,-0.899,89.417,282.104,118.164
-1.510,0.261,-1.074,75.317,261.169,123.169
-1.422,0.465,-1.128,51.697,237.549,126.343
-1.319,0.746,-1.201,21.545,214.172,127.075
-1.222,1.035,-1.330,-7.141,192.993,122.131
-1.155,1.329,-1.542,-22.705,173.401,109.253
-1.032,1.530,-1.902,-19.836,154.297,86.975
-0.979,1.621,-2.252,-6.775,129.211,57.617
-0.918,1.642,-2.449,8.850,94.543,26.123
-0.929,1.613,-2.451,16.663,53.040,-2.869
-0.936,1.599,-2.349,17.700,11.841,-29.541
-0.956,1.549,-2.279,14.526,-24.719,-55.359
-1.032,1.483,-2.238,9.033,-59.631,-80.078
-1.099,1.453,-2.145,0.244,-95.093,-102.966
-1.207,1.437,-1.960,-10.681,-130.615,-124.573
-1.295,1.404,-1.741,-17.456,-163.513,-146.912
-1.425,1.357,-1.452,-20.691,-194.397,-170.410
-1.434,1.261,-1.109,-21.606,-222.046,-194.763
-1.515,1.053,-0.690,-19.958,-245.667,-219.849
-1.516,0.754,-0.295,-26.123,-265.198,-242.737
-1.549,0.368,0.140,-40.161,-281.128,-261.353
-1.533,-0.087,0.584,-60.791,-292.969,-274.231
-1.481,-0.557,0.973,-88.013,-300.110,-279.236
-1.358,-1.053,1.302,-111.938,-304.443,-276.672
-1.229,-1.421,1.697,-128.052,-307.129,-266.846
-1.054,-1.817,2.068,-124.207,-305.542,-253.479
-0.877,-1.989,2.443,-110.779,-300.354,-236.084
-0.767,-2.240,2.878,-86.548,-290.955,-217.224
-0.587,-2.412,3.333,-64.575,-277.161,-195.801
-0.371,-2.481,3.749,-49.561,-257.385,-170.776
-0.213,-2.549,4.000,-32.593,-232.361,-145.996
-0.079,-2.593,4.000,-15.869,-203.613,-121.704
0.058,-2.632,4.000,2.686,-171.570,-97.961
0.124,-2.644,4.000,22.949,-136.841,-74.402
0.179,-2.592,4.000,37.537,-101.257,-49.805
0.225,-2.514,4.000,46.204,-62.744,-25.452
0.194,-2.450,4.000,52.490,-21.362,-2.930
0.149,-2.343,4.000,55.420,19.226,18.677
0.049,-2.219,4.000,57.190,60.181,40.161
-0.081,-2.101,4.000,61.829,100.769,60.242
-0.230,-1.972,4.000,66.956,139.465,79.346
-0.404,-1.873,4.000,70.984,176.514,97.595
-0.618,-1.751,4.000,69.153,212.646,115.356
-0.870,-1.577,4.000,73.486,249.023,131.592
-1.138,-1.409,3.970,88.196,284.241,145.874
-1.430,-1.269,3.616,109.436,315.979,158.081
-1.691,-1.109,3.209,134.155,343.994,169.495
-1.933,-0.897,2.783,162.781,367.554,181.274
-2.138,-0.608,2.390,189.514,384.827,192.993
-2.274,-0.312,1.984,208.496,397.461,203.247
-2.374,-0.068,1.615,217.529,404.236,211.060
-2.419,0.149,1.265,219.971,406.128,216.980
-2.424,0.341,0.878,217.834,404.968,220.398
-2.402,0.521,0.518,207.275,399.536,222.534
-2.337,0.686,0.217,182.068,389.160,223.694
-2.185,0.920,-0.127,133.118,377.319,224.609
-2.064,1.139,-0.479,77.087,364.258,220.398
-1.953,1.336,-0.830,26.001,348.938,208.801
-1.839,1.521,-1.248,-5.127,333.313,188.599
-1.627,1.580,-1.795,-7.202,316.772,159.668
-1.456,1.518,-2.336,9.094,291.931,127.197
-1.299,1.477,-2.644,24.536,254.700,96.924
-1.079,1.435,-2.764,32.837,208.618,70.129
-0.885,1.371,-2.627,40.710,158.936,44.983
-0.724,1.252,-2.286,44.922,113.037,22.522
-0.586,1.093,-1.900,36.499,75.073,4.456
-0.524,0.992,-1.641,6.714,45.776,-6.287
-0.533,1.059,-1.529,-38.391,22.644,-13.123
-0.564,1.247,-1.624,-74.036,4.211,-22.766
-0.623,1.366,-1.842,-78.369,-13.611,-41.260
-0.706,1.385,-1.980,-65.979,-37.231,-66.284
-0.807,1.366,-1.927,-58.350,-67.688,-91.614
-0.896,1.362,-1.733,-63.293,-101.196,-114.685
-1.053,1.397,-1.485,-77.698,-132.446,-135.132
-1.224,1.521,-1.276,-92.651,-160.278,-155.640
-1.463,1.705,-1.160,-103.271,-185.364,-178.284
-1.784,1.917,-1.078,-115.356,-211.182,-204.224
-2.130,2.109,-0.965,-127.258,-239.502,-234.375
-2.514,2.346,-0.741,-135.071,-271.057,-270.325
-2.963,2.436,-0.378,-132.629,-303.223,-315.186
-3.407,2.189,0.085,-129.822,-331.726,-367.310
