aX,aY,aZ,gX,gY,gZ
-2.397,1.602,-1.149,-28.015,12.024,-414.856
-2.779,1.089,-1.083,-78.186,-9.888,-449.219
-3.072,0.400,-0.729,-134.033,-40.527,-475.098
-3.156,-0.244,-0.128,-197.937,-73.853,-489.502
-3.093,-0.960,0.682,-258.423,-104.858,-494.080
-2.815,-1.737,1.586,-287.231,-124.329,-492.920
-2.513,-2.267,2.259,-283.875,-122.559,-483.948
-2.255,-2.660,2.458,-227.417,-98.816,-474.670
-1.995,-2.994,2.047,-138.550,-59.875,-467.163
-1.812,-3.344,1.457,-64.514,-21.484,-454.407
-1.686,-3.835,0.927,-21.423,5.188,-433.899
-1.548,-4.000,0.527,-14.526,20.813,-399.841
-1.357,-4.000,0.310,-28.015,25.940,-353.210
-1.096,-4.000,0.231,-40.466,25.146,-301.147
-0.930,-4.000,0.293,-37.720,22.400,-251.282
-0.799,-4.000,0.386,-36.743,21.912,-200.195
-0.723,-4.000,0.426,-37.903,23.621,-148.499
-0.699,-4.000,0.381,-30.945,27.588,-100.708
-0.745,-4.000,0.325,-13.428,31.067,-59.509
-0.803,-4.000,0.269,5.066,33.325,-23.315
-0.850,-4.000,0.259,19.470,33.875,11.047
-0.916,-4.000,0.335,32.104,33.020,45.654
-0.970,-4.000,0.468,39.673,33.020,82.397
-1.027,-4.000,0.647,44.617,34.790,120.972
-1.099,-4.000,0.885,47.485,38.696,161.377
-1.252,-4.000,1.078,46.570,46.753,206.726
-1.541,-4.000,1.224,34.790,59.021,258.362
-1.908,-4.000,1.266,24.780,74.646,313.843
-2.311,-4.000,1.259,14.648,91.370,370.178
-2.799,-3.787,1.048,5.188,109.985,422.119
-3.096,-2.726,0.730,-0.122,127.014,462.769
-3.197,-1.739,0.449,12.451,138.916,483.948
-3.158,-1.014,0.264,41.748,144.775,485.596
-2.966,-0.583,0.095,78.613,145.447,473.694
-2.752,-0.296,0.087,110.962,139.587,456.787
-2.549,-0.145,0.131,136.780,131.042,438.599
-2.288,0.002,0.186,151.428,122.742,422.791
-2.081,0.183,0.223,152.527,115.173,409.546
-2.172,0.262,0.276,145.264,109.741,394.958
-1.936,0.388,0.091,125.977,108.276,381.165
-1.671,0.574,-0.169,99.365,107.361,368.652
-1.422,0.717,-0.349,90.271,102.356,352.661
-1.335,0.760,-0.381,96.191,93.811,333.496
-1.181,0.796,-0.389,95.215,84.595,315.308
-0.963,0.885,-0.383,88.806,76.294,298.523
-0.797,0.974,-0.377,81.604,69.702,282.043
-0.679,1.060,-0.330,71.289,63.538,264.526
-0.587,1.183,-0.268,54.871,58.777,246.887
-0.449,1.359,-0.288,30.945,57.495,227.844
-0.355,1.457,-0.357,14.404,58.655,203.674
-0.265,1.531,-0.455,0.854,58.777,176.636
-0.190,1.560,-0.547,-12.573,56.946,148.376
-0.126,1.549,-0.618,-18.921,53.650,119.202
-0.051,1.531,-0.647,-20.813,48.767,89.417
0.006,1.508,-0.611,-23.010,42.603,60.608
0.020,1.448,-0.538,-26.306,36.560,33.020
0.025,1.402,-0.494,-34.668,32.288,7.812
0.002,1.374,-0.489,-47.241,28.809,-14.526
-0.030,1.376,-0.513,-65.186,24.414,-35.645
-0.088,1.452,-0.532,-89.233,17.944,-55.481
-0.143,1.598,-0.506,-110.413,9.705,-76.843
-0.191,1.818,-0.413,-125.610,0.305,-101.685
