aX,aY,aZ,gX,gY,gZ
-0.572,-0.812,3.032,-11.475,-256.592,-91.858
-0.379,-0.901,3.832,-42.664,-247.009,-83.313
-0.295,-0.831,4.000,-72.632,-223.267,-71.655
-0.197,-0.736,4.000,-88.928,-188.782,-63.599
-0.156,-0.781,4.000,-94.727,-148.315,-59.509
-0.157,-1.035,4.000,-93.079,-108.154,-57.983
-0.246,-1.436,4.000,-83.374,-71.472,-53.955
-0.286,-1.825,4.000,-68.909,-41.626,-42.786
-0.290,-2.067,4.000,-54.993,-17.151,-23.315
-0.256,-2.033,4.000,-41.992,8.667,2.747
-0.291,-1.872,4.000,-23.193,42.053,29.968
-0.459,-1.710,4.000,-5.798,84.595,55.603
-0.699,-1.539,4.000,8.911,132.568,78.552
-1.028,-1.337,4.000,30.762,179.993,98.633
-1.344,-1.073,4.000,52.856,222.229,116.333
-1.619,-0.828,4.000,64.880,259.216,130.737
-1.847,-0.731,4.000,66.284,293.152,141.052
-2.054,-0.794,4.000,58.105,322.876,149.292
-2.255,-0.845,3.758,41.992,347.656,158.264
-2.516,-0.831,3.355,20.691,370.789,168.518
-2.786,-0.799,2.734,-1.770,393.860,177.673
-2.904,-0.756,2.042,-17.090,412.231,184.082
-3.076,-0.589,1.416,-16.663,423.218,188.232
-3.032,-0.443,0.950,-7.568,425.842,190.002
-3.002,-0.323,0.752,-1.892,420.776,189.880
-2.989,-0.148,0.636,-0.366,414.734,189.026
-3.014,0.167,0.374,-0.977,412.292,186.829
-2.874,0.501,-0.186,8.728,413.330,179.077
-2.691,0.785,-0.754,35.095,406.860,164.795
-2.484,0.975,-1.197,69.092,389.648,145.935
-2.196,1.031,-1.591,97.595,365.845,124.756
-1.937,0.968,-1.946,120.117,336.914,104.248
-1.654,0.911,-2.232,130.371,300.720,87.341
-1.400,0.839,-2.460,123.047,259.338,74.341
-1.145,0.718,-2.625,102.966,214.050,64.270
-0.917,0.585,-2.635,71.533,164.795,56.152
-0.691,0.383,-2.479,38.208,115.417,48.157
-0.541,0.082,-2.188,17.090,70.374,39.490
-0.448,-0.217,-1.892,5.432,32.043,33.142
-0.327,-0.541,-1.725,1.831,3.174,29.968
-0.232,-0.864,-1.511,3.601,-22.827,31.067
-0.153,-1.159,-1.106,5.981,-48.950,37.415
-0.004,-1.542,-0.653,8.240,-69.458,48.279
0.062,-1.985,0.003,8.240,-82.275,64.819
0.144,-2.344,0.475,9.827,-82.275,89.844
0.213,-2.446,0.796,23.743,-70.313,122.437
0.178,-2.108,0.953,30.151,-53.894,161.926
0.158,-1.507,0.764,29.236,-33.508,197.937
0.141,-1.057,0.516,32.349,-17.334,220.703
0.096,-0.842,0.399,39.978,-7.874,232.849
0.074,-0.771,0.203,54.871,-0.427,240.173
0.009,-0.743,0.113,67.993,2.563,247.681
-0.077,-0.654,0.039,63.110,1.465,259.216
-0.139,-0.604,-0.134,53.162,-0.061,273.560
-0.320,-0.530,-0.199,39.795,-5.859,289.673
-0.472,-0.393,-0.295,25.940,-13.306,307.312
-0.679,-0.168,-0.309,22.705,-22.217,324.097
-0.980,0.152,-0.269,23.376,-32.288,339.600
-1.171,0.536,-0.292,22.400,-42.480,351.379
-1.292,0.837,-0.268,22.644,-55.359,357.605
-1.439,1.048,-0.125,23.804,-71.228,360.657
-1.657,1.275,0.028,16.174,-86.609,364.990
-1.891,1.541,0.087,5.737,-99.304,368.835
-2.093,1.991,0.080,2.136,-111.938,370.605
-2.207,2.647,0.166,5.249,-127.136,367.432
-2.235,3.301,0.268,24.780,-143.250,351.990
-2.318,4.000,0.602,37.781,-160.828,325.623
-2.199,4.000,0.871,31.738,-174.988,286.926
-2.113,4.000,0.965,37.781,-182.068,226.746
-2.103,4.000,1.064,35.828,-190.552,149.109
-2.117,4.000,1.310,26.672,-201.111,56.580
-2.255,4.000,1.797,23.010,-208.618,-52.856
-2.342,4.000,2.353,16.785,-207.092,-175.110
-3.408,4.000,2.850,1.099,-192.810,-305.115
-4.000,4.000,2.847,15.686,-161.926,-445.129
-4.000,4.000,2.902,23.315,-135.437,-579.651
-4.000,4.000,2.788,40.710,-106.262,-710.693
-4.000,4.000,2.513,57.922,-72.388,-832.336
-4.000,3.228,1.987,62.134,-38.757,-937.317
-4.000,1.089,1.191,23.376,-18.127,-1019.592
-4.000,-1.437,0.588,-96.436,-33.997,-1073.608
-4.000,-3.523,0.946,-257.935,-100.220,-1089.661
-4.000,-4.000,1.337,-315.796,-186.768,-1075.989
-4.000,-4.000,3.426,-349.182,-274.109,-997.986
-4.000,-4.000,4.000,-348.938,-319.580,-850.952
-2.909,-4.000,4.000,-280.029,-294.373,-672.363
-0.825,-4.000,4.000,-210.754,-225.830,-488.464
0.146,-4.000,4.000,-127.197,-145.691,-327.881
0.462,-4.000,3.724,-63.171,-80.566,-204.224
0.478,-4.000,2.748,-23.315,-38.879,-118.347
0.377,-4.000,1.808,-1.587,-11.108,-47.852
0.161,-3.514,1.087,16.907,1.831,10.498
-0.011,-2.586,0.665,32.959,1.282,50.964
-0.106,-1.802,0.564,42.664,-7.935,77.026
-0.097,-1.090,0.660,49.805,-20.020,91.309
-0.006,-0.518,0.896,48.218,-30.701,95.764
0.122,-0.134,1.241,39.490,-37.537,91.614
0.235,0.056,1.582,29.968,-37.476,81.360
0.295,0.095,1.762,23.071,-30.029,68.176
0.325,0.058,1.793,12.268,-18.066,56.030
0.281,-0.021,1.671,-1.587,-5.493,46.692
0.253,-0.094,1.388,-14.465,5.127,40.100
0.186,-0.192,1.063,-21.057,11.902,35.400
0.153,-0.258,0.816,-22.095,12.451,32.715
0.162,-0.331,0.689,-23.621,7.690,31.982
0.181,-0.367,0.689,-21.606,0.793,32.959
0.214,-0.314,0.776,-17.578,-5.310,35.645
0.254,-0.231,0.932,-11.902,-10.315,38.147
0.293,-0.149,1.085,-4.883,-12.634,39.307
0.323,-0.079,1.194,0.549,-11.414,40.161
0.336,-0.025,1.248,2.625,-8.484,40.466
0.333,0.020,1.255,4.150,-4.395,40.588
0.343,0.110,1.181,6.653,-0.183,40.161
0.320,0.172,1.091,7.751,2.930,38.452
0.309,0.191,0.989,8.118,4.395,35.645
0.285,0.195,0.873,7.080,4.761,32.593
0.285,0.177,0.823,6.592,2.808,29.419
0.282,0.139,0.813,7.690,-0.305,26.123
0.286,0.090,0.849,10.071,-3.418,23.132

-0.107,-0.423,3.033,-103.210,-302.246,0.916
0.081,-0.200,3.749,-113.464,-282.410,14.832
0.192,0.049,4.000,-117.920,-251.770,24.719
0.264,0.312,4.000,-111.023,-214.905,27.649
0.281,0.438,4.000,-100.098,-178.101,23.682
0.251,0.401,4.000,-88.501,-145.203,14.771
0.224,0.145,4.000,-71.716,-116.760,4.333
0.174,-0.274,4.000,-50.842,-90.698,-2.625
0.135,-0.589,4.000,-36.621,-66.345,-1.648
0.105,-0.702,4.000,-23.437,-40.771,6.348
0.069,-0.680,4.000,-8.057,-13.672,18.311
-0.000,-0.581,4.000,6.897,14.587,30.701
-0.081,-0.396,4.000,23.865,46.814,42.053
-0.209,-0.189,4.000,41.565,82.581,51.270
-0.380,0.015,4.000,52.551,119.202,58.167
-0.583,0.220,4.000,55.847,155.518,63.171
-0.791,0.471,4.000,51.575,189.270,65.613
-0.986,0.719,3.887,45.410,219.238,63.599
-1.175,0.777,3.471,42.236,245.361,55.786
-1.394,0.787,3.100,32.166,266.113,46.204
-1.506,0.611,2.489,28.076,285.889,34.424
-1.581,0.297,2.018,34.424,298.401,23.315
-1.612,0.023,1.723,37.964,302.979,18.494
-1.619,-0.149,1.465,36.560,305.359,19.592
-1.614,-0.174,1.168,31.738,307.312,25.024
-1.587,-0.184,0.786,30.518,308.350,30.090
-1.527,-0.186,0.457,27.527,304.810,34.180
-1.476,-0.161,0.221,25.696,296.387,37.598
-1.352,-0.077,-0.012,26.733,286.255,39.734
-1.192,-0.074,-0.165,30.457,274.109,39.551
-1.161,-0.102,-0.246,35.828,260.132,38.391
-1.013,-0.055,-0.383,32.776,247.864,38.696
-0.925,-0.064,-0.550,30.029,235.901,37.781
-0.807,-0.072,-0.703,27.283,221.924,36.743
-0.711,-0.066,-0.835,26.489,206.543,35.767
-0.612,-0.064,-0.923,29.419,190.125,33.752
-0.517,-0.103,-0.995,35.400,173.279,31.006
-0.425,-0.195,-1.085,42.114,156.982,28.259
-0.369,-0.281,-1.123,46.814,139.099,27.405
-0.331,-0.266,-1.161,42.664,121.277,30.151
-0.286,-0.186,-1.242,33.142,103.577,33.752
-0.240,-0.165,-1.319,24.048,85.083,35.217
-0.199,-0.225,-1.284,18.494,64.392,34.851
-0.157,-0.311,-1.181,16.418,44.312,34.119
-0.119,-0.366,-1.076,16.296,26.733,34.607
-0.088,-0.362,-1.026,12.878,11.414,36.865
-0.064,-0.430,-0.938,9.338,-2.869,39.001
-0.065,-0.565,-0.808,7.080,-17.090,40.649
-0.040,-0.706,-0.686,7.935,-29.358,43.945
-0.014,-0.858,-0.528,10.071,-40.527,49.316
-0.007,-0.959,-0.355,8.972,-50.232,57.434
0.019,-1.009,-0.215,8.362,-57.068,67.627
0.029,-1.080,-0.057,11.292,-62.805,77.881
0.076,-1.158,0.113,16.907,-66.956,88.196
0.112,-1.266,0.263,27.405,-68.787,98.450
0.155,-1.356,0.393,38.391,-68.848,110.535
0.171,-1.377,0.505,41.443,-68.359,125.549
0.184,-1.255,0.488,40.100,-65.613,142.944
0.157,-1.068,0.400,42.664,-63.293,159.607
0.169,-0.875,0.346,44.250,-63.965,173.340
0.120,-0.750,0.333,38.696,-67.383,186.462
0.101,-0.623,0.373,36.316,-71.777,198.364
0.097,-0.523,0.499,35.706,-77.087,209.595
0.066,-0.436,0.685,30.457,-81.787,221.619
0.003,-0.172,0.846,22.949,-83.435,235.413
-0.057,0.235,0.976,20.203,-82.886,247.070
-0.084,0.601,1.068,22.827,-80.933,252.991
-0.144,0.909,1.158,19.592,-78.796,255.493
-0.192,1.190,1.208,8.301,-76.294,254.761
-0.241,1.390,1.260,0.977,-73.914,250.549
-0.314,1.590,1.313,-4.883,-72.021,246.155
-0.395,1.898,1.299,-15.198,-69.946,241.943
-0.353,2.178,1.218,-25.574,-67.993,235.596
-0.523,2.514,1.172,-26.428,-67.017,225.769
-0.514,3.042,1.145,-28.259,-67.993,211.914
-0.499,3.456,1.215,-28.992,-70.190,189.453
-0.486,3.765,1.330,-26.428,-71.533,158.386
-0.459,4.000,1.423,-27.771,-70.740,123.047
-0.479,4.000,1.493,-31.616,-68.787,84.534
-0.526,4.000,1.481,-32.776,-65.186,40.710
-0.538,4.000,1.501,-31.555,-62.134,-8.911
-0.615,4.000,1.553,-25.635,-59.204,-65.369
-0.776,4.000,1.527,-15.381,-54.016,-125.122
-0.960,3.999,1.431,-6.775,-48.523,-181.274
-1.149,3.504,1.320,-2.747,-45.044,-230.774
-1.344,2.803,1.208,-0.732,-43.457,-273.865
-1.517,2.104,1.122,-2.075,-44.250,-309.082
-1.640,1.514,1.041,-5.493,-46.631,-334.839
-1.708,0.973,0.995,-11.230,-50.964,-352.295
-1.719,0.455,1.047,-18.616,-57.068,-363.525
-1.672,-0.001,1.186,-25.757,-63.293,-368.530
-1.604,-0.345,1.310,-31.067,-66.711,-367.554
-1.551,-0.484,1.392,-29.968,-66.528,-362.915
-1.512,-0.422,1.341,-19.531,-63.049,-357.422
-1.507,-0.370,1.229,-9.155,-58.777,-354.675
-1.508,-0.492,1.195,-7.385,-57.617,-355.530
-1.459,-0.788,1.239,-11.536,-58.167,-356.079
-1.371,-1.213,1.295,-24.902,-59.326,-352.844
-1.240,-1.581,1.276,-41.199,-59.326,-343.140
-1.143,-1.794,1.209,-51.331,-59.204,-326.721
-0.982,-1.838,1.116,-52.002,-59.631,-306.458
-0.844,-1.842,1.145,-47.852,-61.829,-286.987
-0.722,-1.821,1.208,-40.405,-62.988,-269.287
-0.583,-1.791,1.262,-30.457,-61.768,-253.357
-0.429,-1.918,1.349,-22.644,-59.753,-239.563
-0.283,-2.141,1.472,-19.958,-56.763,-224.487
-0.146,-2.273,1.503,-21.851,-51.575,-204.956
-0.017,-2.325,1.503,-24.658,-44.617,-182.495
0.059,-2.302,1.409,-20.447,-36.804,-159.912
0.136,-2.216,1.288,-13.306,-29.968,-138.184
0.210,-2.239,1.248,-6.897,-26.062,-119.385
0.303,-2.373,1.258,-4.517,-23.437,-99.976
0.372,-2.460,1.280,-3.662,-20.081,-77.637
0.410,-2.385,1.293,-3.052,-16.479,-52.124
0.432,-2.196,1.284,0.427,-12.146,-27.771
0.424,-1.954,1.281,7.080,-7.690,-6.836
0.419,-1.680,1.235,16.052,-3.418,9.888
0.397,-1.434,1.184,27.039,0.671,23.254
0.379,-1.253,1.138,35.522,3.296,33.508

0.323,-1.010,1.002,31.921,4.456,52.734
0.302,-0.790,0.936,17.578,2.563,64.148
0.259,-0.507,0.856,-0.366,-0.183,74.097
0.246,-0.204,0.800,-10.864,-3.723,79.407
0.234,0.021,0.832,-9.216,-8.118,78.491
0.237,0.174,0.911,-4.150,-12.085,73.425
0.268,0.235,1.014,1.221,-14.771,66.650
0.283,0.191,1.131,3.601,-16.418,59.937
0.286,0.138,1.211,2.686,-15.930,55.237
0.278,0.140,1.257,-2.075,-14.160,53.711
0.274,0.191,1.271,-6.226,-11.597,53.162
0.278,0.205,1.276,-7.080,-8.789,51.270
0.269,0.198,1.289,-6.897,-5.920,49.011
0.265,0.211,1.277,-4.517,-2.869,47.241
0.253,0.247,1.254,-1.038,0.244,45.288
0.246,0.295,1.220,1.099,3.052,43.091
0.253,0.344,1.164,3.784,5.737,40.344
0.271,0.346,1.110,6.836,7.629,36.621
0.278,0.260,1.060,8.484,8.972,32.837
0.279,0.200,1.025,7.935,9.277,30.823
0.271,0.219,0.993,5.859,9.277,30.396
0.274,0.260,0.989,4.639,8.972,29.480
0.268,0.274,1.016,6.653,8.423,27.039
0.289,0.272,1.031,8.667,8.911,23.682
0.320,0.230,1.024,8.972,9.949,20.508
0.326,0.167,0.996,7.996,10.986,17.944
0.336,0.112,0.939,7.324,11.719,16.418
0.328,0.081,0.900,7.202,11.841,15.686
0.319,0.079,0.871,6.592,10.986,15.747
0.313,0.094,0.877,4.944,9.277,15.991
0.312,0.094,0.897,2.869,7.568,15.991
0.320,0.095,0.923,1.770,6.775,15.564
0.335,0.096,0.944,1.648,6.287,14.954
0.329,0.073,0.941,1.648,6.409,14.343
0.324,0.085,0.920,2.808,6.653,14.099
0.321,0.114,0.884,4.517,6.592,13.672
0.307,0.148,0.883,5.920,5.737,12.756
0.306,0.189,0.882,6.409,4.578,11.353
0.303,0.217,0.894,6.775,3.479,9.094
0.297,0.229,0.918,7.385,2.502,6.287
0.310,0.189,0.933,6.409,1.953,3.479
0.322,0.113,0.945,3.540,1.526,1.160
0.327,0.050,0.938,1.709,1.465,-0.183
0.337,0.020,0.925,2.136,1.404,-0.366
0.330,-0.009,0.934,3.906,1.038,-0.305
0.333,-0.021,0.960,5.127,0.488,-0.183
0.330,-0.014,0.996,6.165,0.244,0.610
0.336,0.001,1.010,6.775,0.671,1.221
0.336,-0.002,1.006,6.653,1.465,1.526
0.334,0.011,0.992,6.653,2.258,1.831
0.329,0.041,0.967,6.836,2.625,1.526
0.320,0.049,0.938,7.690,2.930,0.488
0.312,0.044,0.913,8.911,2.563,-0.488
0.304,0.034,0.896,9.766,1.831,-1.160
0.313,-0.034,0.923,8.362,0.427,-1.343
0.324,-0.097,0.985,3.845,-1.221,-1.160
0.337,-0.107,1.026,0.488,-1.648,-0.061
0.339,-0.093,1.041,0.671,-0.854,1.526
0.348,-0.062,1.053,2.625,0.549,2.502
0.345,-0.033,1.045,4.333,1.770,3.113
0.329,0.011,1.014,4.822,3.052,3.418
0.324,0.056,1.001,4.639,3.601,3.357
0.318,0.044,1.012,3.540,3.540,2.319
0.329,-0.026,1.029,3.418,3.723,1.221
0.334,-0.116,1.050,3.418,4.272,1.099
0.342,-0.135,1.035,2.380,5.310,2.747
0.332,-0.105,0.997,3.418,6.348,4.639
0.330,-0.076,0.972,8.240,7.141,5.249
0.332,-0.104,1.008,14.404,7.019,4.944
0.334,-0.161,1.062,18.250,7.019,5.493
0.331,-0.152,1.089,20.142,8.240,7.507
0.328,-0.115,1.107,19.592,9.705,9.583
0.326,-0.125,1.143,20.325,11.230,10.376
0.323,-0.142,1.189,22.766,13.184,10.559
0.312,-0.139,1.214,27.405,16.174,10.681
0.287,-0.139,1.232,33.447,19.714,10.376
0.255,-0.178,1.188,40.771,23.865,9.949
0.209,-0.266,1.135,49.683,27.405,9.094
0.178,-0.371,1.126,60.547,29.480,9.155
0.149,-0.438,1.162,74.463,31.006,10.254
0.119,-0.420,1.182,91.553,33.997,11.902
0.080,-0.369,1.145,109.497,37.720,13.306
0.054,-0.322,1.051,126.038,41.504,13.733
0.021,-0.301,0.908,138.794,43.884,13.123
-0.016,-0.278,0.705,148.926,44.617,12.024
-0.035,-0.284,0.498,155.151,42.114,10.620
-0.064,-0.276,0.362,155.945,35.950,9.399
-0.084,-0.217,0.177,151.672,27.954,8.484
-0.099,-0.166,-0.059,141.602,18.433,7.385
-0.121,-0.147,-0.235,126.770,5.249,5.493
-0.140,-0.132,-0.365,108.948,-10.315,3.540
-0.167,-0.065,-0.478,92.224,-27.161,1.892
-0.190,0.026,-0.561,79.895,-44.250,-0.488
-0.188,0.135,-0.555,70.618,-62.683,-3.967
-0.204,0.236,-0.511,60.364,-80.566,-8.728
-0.193,0.315,-0.454,49.622,-96.802,-15.076
-0.150,0.255,-0.335,37.109,-112.488,-22.705
-0.115,0.088,-0.217,18.127,-126.221,-29.297
